,index,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
27,head/spine(newborn),0.3333333333333333,0.1111111111111111,0.16666666666666666,9.0,0.3333333333333333,0.1111111111111111,0.16666666666666666,9.0,0.5,0.2222222222222222,0.30769230769230765,9.0,0.5,0.2222222222222222,0.30769230769230765,9.0
28,kidney/adrenal glad,0.9090909090909091,1.0,0.9523809523809523,30.0,0.9090909090909091,1.0,0.9523809523809523,30.0,0.90625,0.9666666666666667,0.9354838709677419,30.0,0.8787878787878788,0.9666666666666667,0.9206349206349207,30.0
29,abdominal vessels,1.0,0.5,0.6666666666666666,2.0,1.0,0.5,0.6666666666666666,2.0,1.0,0.5,0.6666666666666666,2.0,1.0,0.5,0.6666666666666666,2.0
30,hip joint,1.0,0.95,0.9743589743589743,20.0,1.0,0.95,0.9743589743589743,20.0,1.0,0.95,0.9743589743589743,20.0,1.0,0.85,0.9189189189189189,20.0
31,knee,1.0,0.9761904761904762,0.9879518072289156,42.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,42.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,42.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,42.0
32,Myositis,0.9166666666666666,0.6875,0.7857142857142857,16.0,0.9285714285714286,0.8125,0.8666666666666666,16.0,0.9333333333333333,0.875,0.9032258064516129,16.0,0.9375,0.9375,0.9375,16.0
33,ankle joint,1.0,0.8571428571428571,0.923076923076923,7.0,1.0,0.7142857142857143,0.8333333333333333,7.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
34,toes,0.8,0.5,0.6153846153846154,8.0,0.6,0.375,0.4615384615384615,8.0,0.7142857142857143,0.625,0.6666666666666666,8.0,0.6666666666666666,0.5,0.5714285714285715,8.0
35,upper abdomen,0.875,0.84,0.8571428571428572,50.0,0.9333333333333333,0.84,0.8842105263157894,50.0,0.84,0.84,0.8399999999999999,50.0,0.8571428571428571,0.84,0.8484848484848485,50.0
36,MRCP,0.9936908517350158,0.984375,0.989010989010989,320.0,0.9905362776025236,0.98125,0.9858712715855572,320.0,0.9904761904761905,0.975,0.9826771653543307,320.0,0.990506329113924,0.978125,0.9842767295597485,320.0
37,liver,0.9696969696969697,0.9795918367346939,0.9746192893401016,98.0,0.9702970297029703,1.0,0.9849246231155778,98.0,0.9696969696969697,0.9795918367346939,0.9746192893401016,98.0,0.9693877551020408,0.9693877551020408,0.9693877551020408,98.0
38,head and neck(soft tissue),0.9452054794520548,0.9324324324324325,0.9387755102040816,74.0,0.9594594594594594,0.9594594594594594,0.9594594594594594,74.0,0.9466666666666667,0.9594594594594594,0.9530201342281879,74.0,0.9583333333333334,0.9324324324324325,0.9452054794520548,74.0
39,prostate,0.987012987012987,0.95,0.9681528662420381,80.0,0.9866666666666667,0.925,0.9548387096774195,80.0,0.987012987012987,0.95,0.9681528662420381,80.0,0.9866666666666667,0.925,0.9548387096774195,80.0
40,hernia,0.5,1.0,0.6666666666666666,2.0,0.4,1.0,0.5714285714285715,2.0,0.5,1.0,0.6666666666666666,2.0,0.4,1.0,0.5714285714285715,2.0
41,lower abdomen,0.5,0.45714285714285713,0.4776119402985075,35.0,0.5517241379310345,0.45714285714285713,0.5,35.0,0.4838709677419355,0.42857142857142855,0.4545454545454545,35.0,0.4827586206896552,0.4,0.43750000000000006,35.0
42,rectum,0.5714285714285714,0.6666666666666666,0.6153846153846153,6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,0.6,0.5,0.5454545454545454,6.0,0.5555555555555556,0.8333333333333334,0.6666666666666667,6.0
43,cervical spine,0.9278350515463918,0.9473684210526315,0.9374999999999999,95.0,0.9583333333333334,0.968421052631579,0.9633507853403142,95.0,0.9468085106382979,0.9368421052631579,0.9417989417989417,95.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,95.0
44,brachial plexus,0.75,0.42857142857142855,0.5454545454545454,7.0,1.0,0.7142857142857143,0.8333333333333333,7.0,0.6666666666666666,0.2857142857142857,0.4,7.0,0.5,0.2857142857142857,0.36363636363636365,7.0
45,thoracic spine,0.8275862068965517,0.8,0.8135593220338982,30.0,0.8,0.9333333333333333,0.8615384615384616,30.0,0.7931034482758621,0.7666666666666667,0.7796610169491527,30.0,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
46,lumbar spine,0.9717514124293786,0.9555555555555556,0.9635854341736695,180.0,0.9608938547486033,0.9555555555555556,0.958217270194986,180.0,0.9297297297297298,0.9555555555555556,0.9424657534246577,180.0,0.9606741573033708,0.95,0.9553072625698323,180.0
47,whole spine,0.9390243902439024,0.9506172839506173,0.9447852760736196,81.0,0.9156626506024096,0.9382716049382716,0.9268292682926829,81.0,0.9058823529411765,0.9506172839506173,0.927710843373494,81.0,0.9506172839506173,0.9506172839506173,0.9506172839506173,81.0
48,Spinal cord lesion,0.7073170731707317,0.7073170731707317,0.7073170731707317,41.0,0.7297297297297297,0.6585365853658537,0.6923076923076923,41.0,0.7222222222222222,0.6341463414634146,0.6753246753246753,41.0,0.7317073170731707,0.7317073170731707,0.7317073170731707,41.0
49,Sacral spine pelvis,0.75,0.375,0.5,8.0,0.5,0.125,0.2,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0
50,shoulder,0.9807692307692307,0.9622641509433962,0.9714285714285713,53.0,0.9807692307692307,0.9622641509433962,0.9714285714285713,53.0,0.9803921568627451,0.9433962264150944,0.9615384615384616,53.0,0.9803921568627451,0.9433962264150944,0.9615384615384616,53.0
51,wrist,1.0,0.6666666666666666,0.8,3.0,0.75,1.0,0.8571428571428571,3.0,1.0,1.0,1.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
52,finger,0.0,0.0,0.0,5.0,0.5,0.2,0.28571428571428575,5.0,0.6666666666666666,0.4,0.5,5.0,1.0,0.2,0.33333333333333337,5.0
53,elbow,0.3333333333333333,0.5,0.4,2.0,0.6666666666666666,1.0,0.8,2.0,1.0,0.5,0.6666666666666666,2.0,0.6666666666666666,1.0,0.8,2.0
54,accuracy,0.8468690183210281,0.8468690183210281,0.8468690183210281,0.8468690183210281,0.8441345365053322,0.8441345365053322,0.8441345365053322,0.8441345365053322,0.8455017774131802,0.8455017774131802,0.8455017774131802,0.8455017774131802,0.8386655728739404,0.8386655728739404,0.8386655728739404,0.8386655728739404
55,macro avg,0.8001574390402275,0.7638498559814103,0.7660097012484784,3657.0,0.8199979810245845,0.7782202664234213,0.7821799807907561,3657.0,0.8171722352565618,0.7593844278839678,0.7736910866884179,3657.0,0.8016871504743173,0.7630542320881758,0.76402606023666,3657.0
56,weighted avg,0.846068895360583,0.8468690183210281,0.8432552091050975,3657.0,0.8446703631810867,0.8441345365053322,0.8408723879873924,3657.0,0.8448167209956793,0.8455017774131802,0.8419158782195455,3657.0,0.8381052767116062,0.8386655728739404,0.8350713625888082,3657.0
